Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances < 4 hours,Type 1 Departments - Major A&E.2,Type 2 Departments - Single Specialty.2,Type 3 Departments - Other A&E/Minor Injury Unit.2,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",20771.0,377.0,12448.0,33596.0,11678.0,377.0,11857.0,23912.0,9093.0,0.0,591.0,9684.0,71.2%,56.2%,100.0%,95.3%,7282.0,0.0,11.0,7293.0,4480.0,11773.0,2567.0,668.0,,,
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",26816.0,0.0,18199.0,45015.0,18375.0,0.0,18106.0,36481.0,8441.0,0.0,93.0,8534.0,81.0%,68.5%,-,99.5%,7954.0,0.0,0.0,7954.0,2938.0,10892.0,698.0,15.0,,,
QHL,NHS Birmingham And Solihull Integrated Care Board,39752.0,423.0,14808.0,54983.0,24886.0,423.0,14782.0,40091.0,14866.0,0.0,26.0,14892.0,72.9%,62.6%,100.0%,99.8%,11406.0,0.0,0.0,11406.0,7843.0,19249.0,4425.0,1513.0,,,
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",26384.0,2625.0,9347.0,38356.0,16658.0,2379.0,9027.0,28064.0,9726.0,246.0,320.0,10292.0,73.2%,63.1%,90.6%,96.6%,8227.0,11.0,0.0,8238.0,4078.0,12316.0,2666.0,1105.0,,,
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",36610.0,5549.0,15460.0,57619.0,25561.0,5518.0,15178.0,46257.0,11049.0,31.0,282.0,11362.0,80.3%,69.8%,99.4%,98.2%,11251.0,974.0,58.0,12283.0,5986.0,18269.0,1274.0,282.0,,,
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,28164.0,0.0,11428.0,39592.0,17338.0,0.0,11114.0,28452.0,10826.0,0.0,314.0,11140.0,71.9%,61.6%,-,97.3%,7163.0,0.0,79.0,7242.0,1879.0,9121.0,2310.0,1349.0,,,
QYG,NHS Cheshire And Merseyside Integrated Care Board,74941.0,3578.0,51120.0,129639.0,42894.0,3377.0,49386.0,95657.0,32047.0,201.0,1734.0,33982.0,73.8%,57.2%,94.4%,96.6%,23955.0,122.0,0.0,24077.0,8121.0,32198.0,8326.0,5004.0,,,
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,6938.0,0.0,12626.0,19564.0,3547.0,0.0,12025.0,15572.0,3391.0,0.0,601.0,3992.0,79.6%,51.1%,-,95.2%,2341.0,0.0,52.0,2393.0,1579.0,3972.0,985.0,467.0,,,
QWU,NHS Coventry And Warwickshire Integrated Care Board,29411.0,2667.0,8627.0,40705.0,21746.0,2574.0,8446.0,32766.0,7665.0,93.0,181.0,7939.0,80.5%,73.9%,96.5%,97.9%,4038.0,40.0,50.0,4128.0,1040.0,5168.0,866.0,235.0,,,
QHM,NHS North East And North Cumbria Integrated Care Board,76255.0,3272.0,75214.0,154741.0,47237.0,3163.0,74301.0,124701.0,29018.0,109.0,913.0,30040.0,80.6%,61.9%,96.7%,98.8%,25999.0,45.0,894.0,26938.0,11572.0,38510.0,4117.0,376.0,,,
QJK,NHS Devon Integrated Care Board,31474.0,174.0,18529.0,50177.0,16444.0,160.0,18352.0,34956.0,15030.0,14.0,177.0,15221.0,69.7%,52.2%,92.0%,99.0%,8942.0,0.0,0.0,8942.0,5183.0,14125.0,2293.0,590.0,,,
QVV,NHS Dorset Integrated Care Board,20661.0,0.0,8226.0,28887.0,12363.0,0.0,8221.0,20584.0,8298.0,0.0,5.0,8303.0,71.3%,59.8%,-,99.9%,6149.0,1.0,0.0,6150.0,3127.0,9277.0,1725.0,593.0,,,
QMF,NHS North East London Integrated Care Board,51367.0,3435.0,41272.0,96074.0,33483.0,3016.0,40007.0,76506.0,17884.0,419.0,1265.0,19568.0,79.6%,65.2%,87.8%,96.9%,10164.0,1.0,35.0,10200.0,3917.0,14117.0,3656.0,1837.0,,,
QNQ,NHS Frimley Integrated Care Board,23737.0,1013.0,11602.0,36352.0,16182.0,1012.0,11359.0,28553.0,7555.0,1.0,243.0,7799.0,78.5%,68.2%,99.9%,97.9%,6966.0,0.0,0.0,6966.0,140.0,7106.0,1703.0,637.0,,,
QR1,NHS Gloucestershire Integrated Care Board,14347.0,0.0,9057.0,23404.0,9264.0,0.0,8833.0,18097.0,5083.0,0.0,224.0,5307.0,77.3%,64.6%,-,97.5%,2980.0,0.0,1.0,2981.0,3051.0,6032.0,771.0,489.0,,,
QOP,NHS Greater Manchester Integrated Care Board,90681.0,3891.0,37172.0,131744.0,57518.0,3753.0,36351.0,97622.0,33163.0,138.0,821.0,34122.0,74.1%,63.4%,96.5%,97.8%,23732.0,168.0,706.0,24606.0,6261.0,30867.0,8484.0,2485.0,,,
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,40034.0,2745.0,28126.0,70905.0,25526.0,2669.0,27324.0,55519.0,14508.0,76.0,802.0,15386.0,78.3%,63.8%,97.2%,97.1%,12624.0,20.0,62.0,12706.0,5428.0,18134.0,2926.0,1121.0,,,
QE1,NHS Lancashire And South Cumbria Integrated Care Board,43736.0,0.0,32821.0,76557.0,28397.0,0.0,31695.0,60092.0,15339.0,0.0,1126.0,16465.0,78.5%,64.9%,-,96.6%,12209.0,0.0,180.0,12389.0,6328.0,18717.0,4950.0,2260.0,,,
